Date,Open,High,Low,Close,Volume_Titres,Volume_FCFA,Variation_Pct
2025-03-07,5670.0,5685.0,5670.0,5685.0,3947,22409093,0.0026
2025-03-10,5605.0,5685.0,5605.0,5685.0,1975,11148875,0.0
2025-03-11,5685.0,5700.0,5685.0,5700.0,3660,20834550,0.0026
2025-03-12,5700.0,5700.0,5700.0,5700.0,14553,82952100,0.0
2025-03-13,5680.0,5700.0,5700.0,5680.0,3458,19676020,-0.0034999999999999996
2025-03-14,5700.0,5700.0,5700.0,5700.0,5489,31287300,0.0034999999999999996
2025-03-17,5775.0,5800.0,5800.0,5775.0,431,2494413,0.0132
2025-03-18,5775.0,6125.0,5775.0,6125.0,8069,48010550,0.060599999999999994
2025-03-19,5700.0,6105.0,5700.0,6105.0,15135,89334338,-0.0033
2025-03-20,6095.0,6125.0,6125.0,6095.0,4328,26444080,-0.0016
2025-03-21,6105.0,6125.0,6105.0,6125.0,4955,30299825,0.0049
2025-03-24,6100.0,6125.0,6125.0,6100.0,6645,40617563,-0.0040999999999999995
2025-03-25,6100.0,6150.0,6150.0,6100.0,5843,35788375,0.0
2025-03-26,6100.0,6110.0,6100.0,6110.0,1297,7918185,0.0016
2025-03-27,6100.0,6110.0,6100.0,6110.0,1297,7918185,0.0
2025-03-28,6110.0,6110.0,6110.0,6110.0,15374,93935140,0.0
2025-03-31,6110.0,6110.0,6110.0,6110.0,15374,93935140,0.0
2025-04-01,6010.0,6110.0,6110.0,6010.0,2879,17446740,-0.016399999999999998
2025-04-02,6090.0,6100.0,6100.0,6090.0,5276,32157220,0.013300000000000001
2025-04-03,6090.0,6100.0,6100.0,6090.0,8694,52989930,0.0
2025-04-04,6000.0,6000.0,6000.0,6000.0,6077,36462000,-0.0148
2025-04-07,5850.0,6000.0,5850.0,6000.0,12654,74974950,0.0
2025-04-08,5985.0,6000.0,6000.0,5985.0,2838,17006715,-0.0025
2025-04-09,5605.0,5830.0,5830.0,5605.0,2644,15117070,-0.0635
2025-04-10,5800.0,5890.0,5890.0,5800.0,2032,11877040,0.0348
2025-04-11,5900.0,5950.0,5900.0,5950.0,2758,16341150,0.0259
2025-04-14,5980.0,6000.0,5980.0,6000.0,1347,8068530,0.0084
2025-04-16,5905.0,6000.0,5905.0,6000.0,3290,19583725,0.0008
2025-04-17,5995.0,5995.0,5995.0,5995.0,1974,11834130,-0.0008
2025-04-18,5990.0,6000.0,6000.0,5990.0,917,5497415,-0.0008
2025-04-21,5990.0,6000.0,6000.0,5990.0,917,5497415,0.0
2025-04-22,5990.0,6000.0,5990.0,6000.0,2903,17403485,0.0017000000000000001
2025-04-23,6000.0,6100.0,6000.0,6100.0,25685,155394250,0.0167
2025-04-24,6100.0,6100.0,6100.0,6100.0,4305,26260500,0.0
2025-04-25,6095.0,6095.0,6095.0,6095.0,4187,25519765,-0.0008
2025-04-28,6060.0,6150.0,6150.0,6060.0,10131,61849755,-0.005699999999999999
2025-04-29,6055.0,6090.0,6055.0,6090.0,7681,46642873,0.005
2025-04-30,6060.0,6100.0,6060.0,6100.0,2632,16002560,0.0016
2025-05-01,6060.0,6100.0,6060.0,6100.0,2632,16002560,0.0
2025-05-02,6090.0,6100.0,6090.0,6100.0,5229,31870755,0.0
2025-05-05,6050.0,6095.0,6095.0,6050.0,1654,10043915,-0.008199999999999999
2025-05-06,6050.0,6095.0,6095.0,6050.0,4294,26075315,0.0
2025-05-07,6085.0,6095.0,6085.0,6095.0,3633,22124970,0.0074
2025-05-08,6095.0,6200.0,6095.0,6200.0,2736,16819560,0.0172
2025-05-09,6200.0,6245.0,6200.0,6245.0,4349,27061653,0.0073
2025-05-12,6250.0,6255.0,6250.0,6255.0,23070,144245175,0.0016
2025-05-13,6250.0,6255.0,6255.0,6250.0,3789,23690723,-0.0008
2025-05-14,6200.0,6245.0,6245.0,6200.0,4005,24921113,-0.008
2025-05-15,6125.0,6200.0,6200.0,6125.0,3235,19935688,-0.0121
2025-05-16,5990.0,5990.0,5990.0,5990.0,2107,12620930,-0.022000000000000002
2025-05-19,6105.0,6200.0,6200.0,6105.0,10647,65505668,0.0192
2025-05-20,5990.0,6105.0,6105.0,5990.0,2893,17495418,-0.018799999999999997
2025-05-21,5900.0,5900.0,5900.0,5900.0,4160,24544000,-0.015
2025-05-22,5800.0,5840.0,5840.0,5800.0,10999,64014180,-0.0169
2025-05-23,5800.0,5950.0,5800.0,5950.0,2012,11820500,0.0259
2025-05-26,5950.0,5950.0,5950.0,5950.0,9511,56590450,0.0
2025-05-27,5990.0,5995.0,5995.0,5990.0,2447,14663648,0.0067
2025-05-28,5940.0,5990.0,5990.0,5940.0,4094,24420710,-0.0083
2025-05-29,5940.0,5990.0,5990.0,5940.0,4094,24420710,0.0
2025-05-30,5950.0,5950.0,5950.0,5950.0,7996,47576200,0.0017000000000000001
2025-06-02,5950.0,5950.0,5950.0,5950.0,2852,16969400,0.0
2025-06-03,5750.0,5950.0,5950.0,5750.0,7968,46612800,-0.0336
2025-06-04,5800.0,5805.0,5800.0,5805.0,4114,23871485,0.0096
2025-06-05,5800.0,5860.0,5860.0,5800.0,2980,17373400,-0.0009
2025-06-10,5800.0,6000.0,5800.0,6000.0,26087,153913300,0.0345
2025-06-11,5955.0,6105.0,5955.0,6105.0,1610,9708300,0.0175
2025-06-12,6050.0,6190.0,6050.0,6190.0,4344,26585280,0.0139
2025-06-13,6005.0,6120.0,6120.0,6005.0,14141,85729813,-0.029900000000000003
2025-06-16,6010.0,6190.0,6190.0,6010.0,8886,54204600,0.0008
2025-06-17,6010.0,6100.0,6010.0,6100.0,19680,119162400,0.015
2025-06-18,6200.0,6295.0,6200.0,6295.0,4695,29332013,0.032
2025-06-19,6120.0,6295.0,6295.0,6120.0,3120,19367400,-0.0278
2025-06-20,6285.0,6300.0,6285.0,6300.0,1652,10395210,0.0294
2025-06-23,6285.0,6295.0,6285.0,6295.0,1397,8787130,-0.0008
2025-06-24,6150.0,6150.0,6150.0,6150.0,4387,26980050,-0.023
2025-06-25,6120.0,6150.0,6150.0,6120.0,33170,203497950,-0.0049
2025-06-26,6150.0,6290.0,6290.0,6150.0,6597,41033340,0.0049
2025-06-27,6020.0,6140.0,6020.0,6140.0,4460,27116800,-0.0016
2025-06-30,6120.0,6140.0,6140.0,6120.0,1974,12100620,-0.0033
2025-07-01,6100.0,6140.0,6140.0,6100.0,953,5832360,-0.0033
2025-07-02,6100.0,6120.0,6100.0,6120.0,22794,139271340,0.0033
2025-07-03,5920.0,6120.0,6120.0,5920.0,1688,10161760,-0.0327
2025-07-04,5990.0,6000.0,5990.0,6000.0,2151,12895245,0.013500000000000002
2025-07-07,5900.0,6000.0,5900.0,6000.0,7096,42221200,0.0
2025-07-08,5960.0,6000.0,6000.0,5960.0,1715,10255700,-0.0067
2025-07-09,5955.0,5990.0,5955.0,5990.0,3226,19267285,0.005
2025-07-10,5995.0,5995.0,5995.0,5995.0,2726,16342370,0.0008
2025-07-11,5995.0,5995.0,5995.0,5995.0,9429,56526855,0.0
